k,seed,model,accuracy,f1,auc
5,42,logreg,0.9726212607740409,0.9861146824376447,0.794799632744007
5,42,rf,0.9732972790265337,0.9864575297848633,0.7848400377457548
5,123,logreg,0.9726775956284153,0.9861412732883759,0.8008938812785946
5,123,rf,0.9734944510168442,0.9865565667100018,0.7913977945876038
5,999,logreg,0.9721142470846713,0.9858518878440564,0.7899398030459587
5,999,rf,0.9725930933468537,0.9860970207901694,0.7838133238944128
10,42,logreg,0.8172453703703704,0.8731879693209653,0.8719888977778981
10,42,rf,0.8280092592592593,0.8736340830817637,0.8936117614757326
10,123,logreg,0.8172164351851852,0.8728641294503593,0.8733843905633912
10,123,rf,0.8252025462962963,0.8712791118876648,0.8921663672690585
10,999,logreg,0.8185474537037037,0.8740535438131389,0.8740568374638802
10,999,rf,0.8301504629629629,0.8750691695398629,0.8939757143376115
20,42,logreg,0.8270218921369662,0.8771994359634603,0.8836177731890956
20,42,rf,0.8369964160801416,0.8774470019153978,0.9034124930860264
20,123,logreg,0.8272809706809447,0.8775110240078393,0.888106509307831
20,123,rf,0.8428688630769895,0.8820153681548487,0.9077101655573745
20,999,logreg,0.827237790923615,0.8772586434334448,0.8827692387677475
20,999,rf,0.8368668768081523,0.8771382113821138,0.9038701455681943
50,42,logreg,0.7805782621858917,0.828917084685748,0.8256308978461493
50,42,rf,0.8177414471692401,0.8433719266293742,0.8999961227552196
50,123,logreg,0.7783832879200726,0.8273381294964028,0.8276370767892332
50,123,rf,0.8194822888283378,0.845681009382077,0.8986757939342134
50,999,logreg,0.7762640024220405,0.8245280778819898,0.8240913844694673
50,999,rf,0.8169845594913715,0.8416710319539026,0.8972856160413014
100,42,logreg,0.7892551258759408,0.8122977346278317,0.8552037118217478
100,42,rf,0.8046976382039969,0.811615971961447,0.8891225588431235
100,123,logreg,0.7928886581884246,0.8167202572347267,0.8599218534783102
100,123,rf,0.8130028549182455,0.8217246072002969,0.897441974148315
100,999,logreg,0.7983389566571503,0.820719889247808,0.8603150179882854
100,999,rf,0.8097586296392422,0.8182043650793651,0.8976029359692727
