k,feature,importance
5,var_inter_time,0.2081395942095806
5,speed_change,0.20320307055993958
5,half_life_ratio,0.1991737427901293
5,mean_inter_time,0.1830505284397936
5,time_to_k,0.18245905568383947
5,wiener_root_avg,0.007243371535030367
5,avg_depth,0.007081422455307235
5,branching_factor,0.0035789682985617223
5,leaves,0.0030331266626447526
5,depth,0.0029437108622460246
10,var_inter_time,0.21265197447152556
10,time_to_k,0.21023817500849915
10,mean_inter_time,0.2044509683749538
10,half_life_ratio,0.1694617770656281
10,speed_change,0.16740359171365254
10,avg_depth,0.010710485831083172
10,wiener_root_avg,0.010482738122814793
10,branching_factor,0.005058817105957719
10,leaves,0.004996168269432476
10,depth,0.004413459558412156
20,var_inter_time,0.20279076484595693
20,mean_inter_time,0.19989840091011618
20,time_to_k,0.1965791576298942
20,half_life_ratio,0.17364712832608972
20,speed_change,0.16947532655485575
20,avg_depth,0.016758321623783393
20,wiener_root_avg,0.016426809854545036
20,leaves,0.008933134330299504
20,branching_factor,0.008820610305542332
20,depth,0.006565472604732405
50,var_inter_time,0.25654079116760226
50,half_life_ratio,0.16842336138473166
50,mean_inter_time,0.16628414648397544
50,time_to_k,0.1617609351367822
50,speed_change,0.1561715435573024
50,wiener_root_avg,0.02460319743262527
50,avg_depth,0.024378311751436496
50,branching_factor,0.016158635590123194
50,leaves,0.015067547672845627
50,depth,0.01046971520443254
100,var_inter_time,0.2035081177660924
100,mean_inter_time,0.19386913201235415
100,time_to_k,0.18909114094277038
100,half_life_ratio,0.15767146106578256
100,speed_change,0.1447133016024595
100,wiener_root_avg,0.029669645325944318
100,avg_depth,0.029465312782028595
100,branching_factor,0.019883319259978938
100,leaves,0.01980570573362868
100,depth,0.011580037963825347
