k,model,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std
5,logreg,0.972471034495709,0.0003102681847380604,0.9860359478566924,0.0001599541638229779,0.79521110568952,0.005488619131470521
5,rf,0.9731282744634105,0.00047384946879792386,0.9863703724283447,0.00024185308909567595,0.7866837187425905,0.004114658994076919
10,logreg,0.8176697530864198,0.0007602487036627812,0.8733685475281545,0.0006149251973048205,0.8731433752683898,0.0010548269599955163
10,rf,0.8277874228395062,0.002481406533181539,0.8733274548364305,0.0019135438098913282,0.8932512810274676,0.000957023416017782
20,logreg,0.827180217913842,0.0001388034998775829,0.8773230344682482,0.00016547335547535287,0.8848311737548914,0.00286807773679792
20,rf,0.8389107186550945,0.0034284654809667915,0.8788668604841202,0.002731055347816868,0.9049976014038651,0.0023602679220347655
50,logreg,0.778408517509335,0.0021572405351807885,0.8269277640213802,0.0022230935761179812,0.8257864530349499,0.0017779571336744215
50,rf,0.8180694318296498,0.001280758920829227,0.8435746559884513,0.002012660959623097,0.8986525109102447,0.0013554033480675342
100,logreg,0.793494246907172,0.004572094562409873,0.8165792937034556,0.0042128464425561975,0.8584801944294478,0.0028443185988732854
100,rf,0.8091530409204948,0.004185595470164865,0.8171816480803696,0.005131334051010085,0.8947224896535704,0.004850350089250854
